Localidad,UPZ,Barrio
Usaquén,Paseo de los Libertadores (01),Canaima
Usaquén,Paseo de los Libertadores (01),La Floresta de La Sabana
Usaquén,Paseo de los Libertadores (01),Torca
Usaquén,Verbenal (09),Altos de Serrezuela
Usaquén,Verbenal (09),Balcones de Vista Hermosa
Usaquén,Verbenal (09),Balmoral Norte
Usaquén,Verbenal (09),Buenavista
Usaquén,Verbenal (09),Chaparral
Usaquén,Verbenal (09),El Codito
Usaquén,Verbenal (09),El Refugio de San Antonio
Usaquén,Verbenal (09),El Verbenal
Usaquén,Verbenal (09),Horizontes
Usaquén,Verbenal (09),La Estrellita
Usaquén,Verbenal (09),La Frontera
Usaquén,Verbenal (09),La Llanurita
Usaquén,Verbenal (09),Los Consuelos
Usaquén,Verbenal (09),Marantá
Usaquén,Verbenal (09),Maturín
Usaquén,Verbenal (09),Medellín
Usaquén,Verbenal (09),Mirador del Norte
Usaquén,Verbenal (09),Nuevo Horizonte
Usaquén,Verbenal (09),San Antonio Norte
Usaquén,Verbenal (09),Santandersito
Usaquén,Verbenal (09),Tibabita
Usaquén,Verbenal (09),Viña del Mar
Usaquén,La Uribe (10),Bosque de San Antonio
Usaquén,La Uribe (10),Conjunto Camino del Palmar
Usaquén,La Uribe (10),El Pite
Usaquén,La Uribe (10),El Redil
Usaquén,La Uribe (10),La Cita
Usaquén,La Uribe (10),La Granja Norte
Usaquén,La Uribe (10),La Uribe
Usaquén,La Uribe (10),Los Naranjos
Usaquén,La Uribe (10),San Juan Bosco
Usaquén,La Uribe (10),Urbanización Los Laureles
Usaquén,San Cristóbal Norte (11),Ainsuca
Usaquén,San Cristóbal Norte (11),Altablanca
Usaquén,San Cristóbal Norte (11),Barrancas
Usaquén,San Cristóbal Norte (11),California
Usaquén,San Cristóbal Norte (11),Cerro Norte
Usaquén,San Cristóbal Norte (11),Danubio
Usaquén,San Cristóbal Norte (11),Don Bosco
Usaquén,San Cristóbal Norte (11),La Perla Oriental
Usaquén,San Cristóbal Norte (11),Las Areneras
Usaquén,San Cristóbal Norte (11),Milán (Barrancas)
Usaquén,San Cristóbal Norte (11),Pradera Norte
Usaquén,San Cristóbal Norte (11),San Cristóbal Norte
Usaquén,San Cristóbal Norte (11),Santa Teresa
Usaquén,San Cristóbal Norte (11),Soratama
Usaquén,San Cristóbal Norte (11),Torcoroma
Usaquén,San Cristóbal Norte (11),Villa Nydia
Usaquén,San Cristóbal Norte (11),Villa Oliva
Usaquén,Toberín (12),El Toberín
Usaquén,Toberín (12),Babilonia
Usaquén,Toberín (12),Darandelos
Usaquén,Toberín (12),Estrella del Norte
Usaquén,Toberín (12),Guanoa
Usaquén,Toberín (12),Jardín Norte
Usaquén,Toberín (12),La Liberia
Usaquén,Toberín (12),La Pradera Norte
Usaquén,Toberín (12),Las Orquídeas
Usaquén,Toberín (12),Pantanito
Usaquén,Toberín (12),Santa Mónica
Usaquén,Toberín (12),Villa Magdala
Usaquén,Toberín (12),Villas de Aranjuez
Usaquén,Toberín (12),Villas del Mediterráneo
Usaquén,Toberín (12),Zaragoza
Usaquén,Los Cedros (13),Acacias
Usaquén,Los Cedros (13),Antigua
Usaquén,Los Cedros (13),Belmira
Usaquén,Los Cedros (13),Bosque de Pinos
Usaquén,Los Cedros (13),Caobos Salazar
Usaquén,Los Cedros (13),Capri
Usaquén,Los Cedros (13),Cedritos
Usaquén,Los Cedros (13),Cedro Bolívar
Usaquén,Los Cedros (13),Cedro Golf
Usaquén,Los Cedros (13),Cedro Madeira
Usaquén,Los Cedros (13),Cedro Narváez
Usaquén,Los Cedros (13),Cedro Salazar
Usaquén,Los Cedros (13),El Contador
Usaquén,Los Cedros (13),El Rincón de Las Margaritas
Usaquén,Los Cedros (13),La Sonora
Usaquén,Los Cedros (13),Las Margaritas
Usaquén,Los Cedros (13),Lisboa
Usaquén,Los Cedros (13),Los Cedros
Usaquén,Los Cedros (13),Los Cedros Oriental
Usaquén,Los Cedros (13),Montearroyo
Usaquén,Los Cedros (13),Nueva Autopista
Usaquén,Los Cedros (13),Nuevo Country
Usaquén,Los Cedros (13),Sierras del Moral
Usaquén,Usaquén (14),Bella Suiza
Usaquén,Usaquén (14),Bellavista
Usaquén,Usaquén (14),Bosque Medina
Usaquén,Usaquén (14),El Pañuelito
Usaquén,Usaquén (14),El Pedregal
Usaquén,Usaquén (14),Escuela de Caballería I
Usaquén,Usaquén (14),Escuela de Infantería
Usaquén,Usaquén (14),Francisco Miranda
Usaquén,Usaquén (14),Ginebra
Usaquén,Usaquén (14),La Esperanza
Usaquén,Usaquén (14),La Glorieta
Usaquén,Usaquén (14),Las Delicias del Carmen
Usaquén,Usaquén (14),Sagrado Corazón
Usaquén,Usaquén (14),San Gabriel
Usaquén,Usaquén (14),Santa Ana
Usaquén,Usaquén (14),Santa Ana Occidental
Usaquén,Usaquén (14),Santa Bárbara
Usaquén,Usaquén (14),Santa Bárbara Alta
Usaquén,Usaquén (14),Santa Bárbara Oriental
Usaquén,Country Club (15),Country Club
Chapinero,El Refugio (88),Chicó Reservado
Chapinero,El Refugio (88),Bellavista
Chapinero,El Refugio (88),Chicó Alto
Chapinero,El Refugio (88),El Nogal
Chapinero,El Refugio (88),El Refugio
Chapinero,El Refugio (88),La Cabrera
Chapinero,El Refugio (88),Los Rosales
Chapinero,El Refugio (88),Seminario
Chapinero,El Refugio (88),Toscana
Chapinero,San Isidro Patios (89),La Esperanza Nororiental
Chapinero,San Isidro Patios (89),La Sureña
Chapinero,San Isidro Patios (89),San Isidro
Chapinero,San Isidro Patios (89),San Luis Altos del Cabo
Chapinero,Pardo Rubio (90),Bosque Calderón
Chapinero,Pardo Rubio (90),Bosque Calderón Tejada
Chapinero,Pardo Rubio (90),Chapinero Alto
Chapinero,Pardo Rubio (90),El Castillo
Chapinero,Pardo Rubio (90),El Paraíso
Chapinero,Pardo Rubio (90),Emaus
Chapinero,Pardo Rubio (90),Granada
Chapinero,Pardo Rubio (90),Ingemar
Chapinero,Pardo Rubio (90),Juan XXIII
Chapinero,Pardo Rubio (90),La Salle
Chapinero,Pardo Rubio (90),Las Acacias
Chapinero,Pardo Rubio (90),Los Olivos
Chapinero,Pardo Rubio (90),María Cristina
Chapinero,Pardo Rubio (90),Mariscal Sucre
Chapinero,Pardo Rubio (90),Nueva Granada
Chapinero,Pardo Rubio (90),Palomar
Chapinero,Pardo Rubio (90),Pardo Rubio
Chapinero,Pardo Rubio (90),San Martín de Porres
Chapinero,Pardo Rubio (90),Villa Anita
Chapinero,Pardo Rubio (90),Villa del Cerro
Chapinero,Chicó Lago (97),Antiguo Country
Chapinero,Chicó Lago (97),Chicó Norte
Chapinero,Chicó Lago (97),Chicó Norte II
Chapinero,Chicó Lago (97),Chicó Norte III
