Localidad,UPZ,Barrio
Usaquén,Paseo de los Libertadores,Canaima
Usaquén,Paseo de los Libertadores,La Floresta de La Sabana
Usaquén,Paseo de los Libertadores,Torca
Usaquén,Verbenal,Altos de Serrezuela
Usaquén,Verbenal,Balcones de Vista Hermosa
Usaquén,Verbenal,Balmoral Norte
Usaquén,Verbenal,Buenavista
Usaquén,Verbenal,Chaparral
Usaquén,Verbenal,El Codito
Usaquén,Verbenal,El Refugio de San Antonio
Usaquén,Verbenal,El Verbenal
Usaquén,Verbenal,Horizontes
Usaquén,Verbenal,La Estrellita
Usaquén,Verbenal,La Frontera
Usaquén,Verbenal,La Llanurita
Usaquén,Verbenal,Los Consuelos
Usaquén,Verbenal,Marantá
Usaquén,Verbenal,Maturín
Usaquén,Verbenal,Medellín
Usaquén,Verbenal,Mirador del Norte
Usaquén,Verbenal,Nuevo Horizonte
Usaquén,Verbenal,San Antonio Norte
Usaquén,Verbenal,Santandersito
Usaquén,Verbenal,Tibabita
Usaquén,Verbenal,Viña del Mar
Usaquén,La Uribe,Bosque de San Antonio
Usaquén,La Uribe,Conjunto Camino del Palmar
Usaquén,La Uribe,El Pite
Usaquén,La Uribe,El Redil
Usaquén,La Uribe,La Cita
Usaquén,La Uribe,La Granja Norte
Usaquén,La Uribe,La Uribe
Usaquén,La Uribe,Los Naranjos
Usaquén,La Uribe,San Juan Bosco
Usaquén,La Uribe,Urbanización Los Laureles
Usaquén,San Cristóbal Norte,Ainsuca
Usaquén,San Cristóbal Norte,Altablanca
Usaquén,San Cristóbal Norte,Barrancas
Usaquén,San Cristóbal Norte,California
Usaquén,San Cristóbal Norte,Cerro Norte
Usaquén,San Cristóbal Norte,Danubio
Usaquén,San Cristóbal Norte,Don Bosco
Usaquén,San Cristóbal Norte,La Perla Oriental
Usaquén,San Cristóbal Norte,Las Areneras
Usaquén,San Cristóbal Norte,Milán (Barrancas)
Usaquén,San Cristóbal Norte,Pradera Norte
Usaquén,San Cristóbal Norte,San Cristóbal Norte
Usaquén,San Cristóbal Norte,Santa Teresa
Usaquén,San Cristóbal Norte,Soratama
Usaquén,San Cristóbal Norte,Torcoroma
Usaquén,San Cristóbal Norte,Villa Nydia
Usaquén,San Cristóbal Norte,Villa Oliva
Usaquén,Toberín,El Toberín
Usaquén,Toberín,Babilonia
Usaquén,Toberín,Darandelos
Usaquén,Toberín,Estrella del Norte
Usaquén,Toberín,Guanoa
Usaquén,Toberín,Jardín Norte
Usaquén,Toberín,La Liberia
Usaquén,Toberín,La Pradera Norte
Usaquén,Toberín,Las Orquídeas
Usaquén,Toberín,Pantanito
Usaquén,Toberín,Santa Mónica
Usaquén,Toberín,Villa Magdala
Usaquén,Toberín,Villas de Aranjuez
Usaquén,Toberín,Villas del Mediterráneo
Usaquén,Toberín,Zaragoza
Usaquén,Los Cedros,Acacias
Usaquén,Los Cedros,Antigua
Usaquén,Los Cedros,Belmira
Usaquén,Los Cedros,Bosque de Pinos
Usaquén,Los Cedros,Caobos Salazar
Usaquén,Los Cedros,Capri
Usaquén,Los Cedros,Cedritos
Usaquén,Los Cedros,Cedro Bolívar
Usaquén,Los Cedros,Cedro Golf
Usaquén,Los Cedros,Cedro Madeira
Usaquén,Los Cedros,Cedro Narváez
Usaquén,Los Cedros,Cedro Salazar
Usaquén,Los Cedros,El Contador
Usaquén,Los Cedros,El Rincón de Las Margaritas
Usaquén,Los Cedros,La Sonora
Usaquén,Los Cedros,Las Margaritas
Usaquén,Los Cedros,Lisboa
Usaquén,Los Cedros,Los Cedros
Usaquén,Los Cedros,Los Cedros Oriental
Usaquén,Los Cedros,Montearroyo
Usaquén,Los Cedros,Nueva Autopista
Usaquén,Los Cedros,Nuevo Country
Usaquén,Los Cedros,Sierras del Moral
Usaquén,Usaquén,Bella Suiza
Usaquén,Usaquén,Bellavista
Usaquén,Usaquén,Bosque Medina
Usaquén,Usaquén,El Pañuelito
Usaquén,Usaquén,El Pedregal
Usaquén,Usaquén,Escuela de Caballería I
Usaquén,Usaquén,Escuela de Infantería
Usaquén,Usaquén,Francisco Miranda
Usaquén,Usaquén,Ginebra
Usaquén,Usaquén,La Esperanza
Usaquén,Usaquén,La Glorieta
Usaquén,Usaquén,Las Delicias del Carmen
Usaquén,Usaquén,Sagrado Corazón
Usaquén,Usaquén,San Gabriel
Usaquén,Usaquén,Santa Ana
Usaquén,Usaquén,Santa Ana Occidental
Usaquén,Usaquén,Santa Bárbara
Usaquén,Usaquén,Santa Bárbara Alta
Usaquén,Usaquén,Santa Bárbara Oriental
Usaquén,Country Club,Country Club
Chapinero,El Refugio,Chicó Reservado
Chapinero,El Refugio,Bellavista
Chapinero,El Refugio,Chicó Alto
Chapinero,El Refugio,El Nogal
Chapinero,El Refugio,El Refugio
Chapinero,El Refugio,La Cabrera
Chapinero,El Refugio,Los Rosales
Chapinero,El Refugio,Seminario
Chapinero,El Refugio,Toscana
Chapinero,San Isidro Patios,La Esperanza Nororiental
Chapinero,San Isidro Patios,La Sureña
Chapinero,San Isidro Patios,San Isidro
