Cod.,Localidad,Índice Integral Puntaje,Índice Integral Ranking,Ambiente Seguridad Puntaje,Ambiente Seguridad Ranking,Delitos Puntaje,Delitos Ranking,Resultados Operativos Puntaje,Resultados Operativos Ranking,Percepción Seguridad Puntaje,Percepción Seguridad Ranking
1,Usaquén,6.0,1,6,4,4.2,12,2.2,17,17.0,5
2,Chapinero,5.9,2,20,1,6.2,7,2.2,18,17.9,3
3,Santa Fe,5.5,3,15,2,4.8,11,2.6,15,18.5,2
4,San Cristóbal,4.5,16,16,3,6.7,6,2.1,19,14.7,11
5,Usme,4.9,9,11,7,4.7,13,4.3,3,13.6,14
6,Tunjuelito,4.4,17,17,0,8.3,1,2.5,13,14.1,13
7,Bosa,4.8,12,13,6,6.1,9,2.0,20,12.0,17
8,Kennedy,4.4,18,15,5,7.1,3,3.2,10,10.5,20
9,Fontibón,5.7,4,8,11,6.8,5,2.0,21,17.0,6
10,Engativá,5.4,8,10,10,8.3,2,1.9,22,15.3,10
11,Suba,5.3,10,12,8,6.2,8,2.2,16,15.4,9
12,Barrios Unidos,5.2,13,13,6,8.0,4,2.4,14,14.3,12
13,Teusaquillo,5.2,11,10,9,6.8,5,2.5,11,14.4,8
14,Los Mártires,5.1,14,14,7,8.3,2,2.6,12,15.1,7
15,Antonio Nariño,5.6,5,7,13,5.6,14,3.2,9,17.8,4
16,Puente Aranda,4.6,15,14,8,8.4,0,3.2,7,13.3,15
17,Candelaria,5.3,7,8,12,6.3,10,3.0,8,16.1,7
18,Rafael Uribe Uribe,4.3,19,17,0,9.1,0,2.6,6,13.9,14
19,Ciudad Bolívar,4.8,20,12,14,8.3,0,2.9,5,15.3,9
