administración,estrato,antiguedad,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,porteria,precio,Localidad,Tasa_Homicidios_100k,Tasa_Hurtos_100k,incluye_remodelado,incluye_deposito,incluye_zona_de_lavanderia,incluye_gas,incluye_parqueadero
532000,4,37,86.0,1,1,1,1,Apartamento,24 hrs,313900000.0,CHAPINERO,5.2,1050.0,True,False,False,True,False
0,6,7,77.0,1,2,2,1,Apartamento,24 hrs,440100000.0,USAQUEN,8.5,850.0,True,True,False,True,True
811893,4,14,109.0,3,4,2,1,Apartamento,24 hrs,495000000.0,USAQUEN,8.5,850.0,True,False,False,True,True
400200,4,11,76.0,3,2,1,2,Apartamento,24 hrs,442300000.0,SUBA,9.8,750.0,True,False,False,True,True
270000,4,20,105.0,4,2,1,0,Casa,24 hrs,387000000.0,USAQUEN,8.5,850.0,True,True,False,True,True
211000,3,19,67.0,3,2,1,0,Apartamento,No,271500000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
226000,4,24,72.0,3,2,1,2,Apartamento,24 hrs,334000000.0,FONTIBON,10.1,810.0,True,True,True,True,True
529000,4,30,77.0,2,2,1,1,Apartamento,24 hrs,444200000.0,USME,18.9,680.0,True,False,False,True,False
130000,3,9,59.0,3,2,1,1,Apartamento,24 hrs,256800000.0,KENNEDY,25.4,950.0,True,False,False,True,True
453000,5,8,54.0,1,2,1,1,Apartamento,24 hrs,384200000.0,USAQUEN,8.5,850.0,True,True,False,True,True
282000,4,33,90.0,3,3,1,1,Apartamento,24 hrs,389300000.0,USAQUEN,8.5,850.0,True,True,False,True,True
270000,4,3,67.0,3,2,1,2,Apartamento,24 hrs,462100000.0,FONTIBON,10.1,810.0,True,False,False,True,True
660000,5,14,79.0,3,2,2,1,Apartamento,24 hrs,452000000.0,USAQUEN,8.5,850.0,True,True,False,True,True
113000,2,5,38.0,2,1,0,0,Apartamento,24 hrs,200000000.0,USAQUEN,8.5,850.0,True,False,False,True,True
121400,3,15,61.0,3,2,0,0,Apartamento,No,268400000.0,KENNEDY,25.4,950.0,True,False,False,True,True
212000,3,27,70.0,3,2,1,0,Apartamento,24 hrs,301900000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
521000,6,28,85.0,2,2,1,1,Apartamento,24 hrs,493300000.0,USAQUEN,8.5,850.0,True,True,False,True,True
330000,5,35,78.0,3,2,1,1,Apartamento,24 hrs,360800000.0,SUBA,9.8,750.0,True,False,False,True,True
423000,4,27,86.0,3,2,1,0,Apartamento,24 hrs,329000000.0,SUBA,9.8,750.0,True,False,False,True,True
148400,3,16,71.0,3,2,0,0,Apartamento,24 hrs,261100000.0,KENNEDY,25.4,950.0,True,False,False,True,True
244200,4,35,62.0,2,2,1,1,Apartamento,24 hrs,296600000.0,USAQUEN,8.5,850.0,True,False,False,True,True
91100,3,14,56.0,3,2,0,0,Apartamento,24 hrs,218900000.0,KENNEDY,25.4,950.0,True,False,False,True,True
477000,5,36,72.0,3,2,1,1,Apartamento,24 hrs,395700000.0,SUBA,9.8,750.0,True,True,False,True,True
564000,5,18,81.0,2,2,1,1,Apartamento,24 hrs,385000000.0,SUBA,9.8,750.0,True,False,False,True,False
145000,3,9,47.0,3,2,1,1,Apartamento,24 hrs,228400000.0,KENNEDY,25.4,950.0,True,False,False,True,True
90000,2,11,45.0,3,2,0,0,Apartamento,24 hrs,164000000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
74000,4,5,31.0,1,1,0,1,Apartamento,24 hrs,186000000.0,USAQUEN,8.5,850.0,True,False,False,True,True
80000,3,17,37.0,2,1,0,0,Apartamento,24 hrs,133500000.0,SUBA,9.8,750.0,True,False,False,True,True
91800,2,3,38.0,1,1,0,1,Apartamento,24 hrs,132800000.0,ENGATIVA,11.3,790.0,True,False,False,True,False
227000,3,4,77.0,3,2,1,4,Apartamento,24 hrs,353300000.0,KENNEDY,25.4,950.0,True,True,False,True,True
106000,3,2,40.0,2,1,0,2,Apartamento,24 hrs,175000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
57000,2,18,47.0,2,1,0,0,Apartamento,24 hrs,132200000.0,BOSA,21.5,880.0,True,False,False,True,True
80000,2,10,52.0,3,2,0,0,Apartamento,24 hrs,170600000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
90000,3,10,51.0,3,2,0,0,Apartamento,24 hrs,169000000.0,SUBA,9.8,750.0,True,False,False,True,True
132000,3,22,43.0,2,1,0,0,Apartamento,24 hrs,177700000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
175000,3,16,70.0,3,2,0,1,Apartamento,24 hrs,249400000.0,ENGATIVA,11.3,790.0,True,False,True,True,True
50000,3,17,40.0,2,1,0,0,casa con conjunto cerrado,24 hrs,118900000.0,KENNEDY,25.4,950.0,True,False,False,True,True
0,3,31,54.0,3,2,0,0,Apartamento,24 hrs,183400000.0,SUBA,9.8,750.0,True,True,False,True,True
86100,3,25,39.0,2,1,0,0,Apartamento,24 hrs,148600000.0,SUBA,9.8,750.0,True,False,True,True,True
132400,3,5,46.0,3,1,0,2,Apartamento,24 hrs,177800000.0,FONTIBON,10.1,810.0,True,False,False,True,True
139200,3,10,54.0,3,2,0,1,Apartamento,24 hrs,188900000.0,SUBA,9.8,750.0,True,False,False,True,True
83000,2,22,42.0,2,1,0,0,Apartamento,24 hrs,130400000.0,KENNEDY,25.4,950.0,True,False,False,True,True
105500,2,5,32.0,2,1,0,1,Apartamento,24 hrs,110000000.0,BOSA,21.5,880.0,True,False,False,True,True
170000,3,10,54.0,3,2,0,1,Apartamento,24 hrs,192700000.0,SUBA,9.8,750.0,True,False,False,True,True
110000,3,4,41.0,2,1,0,1,Apartamento,24 hrs,178200000.0,BOSA,21.5,880.0,True,False,False,True,True
95000,2,24,51.0,3,1,0,0,Apartamento,24 hrs,147200000.0,ENGATIVA,11.3,790.0,True,False,False,True,False
130400,3,4,53.0,3,1,0,2,Apartamento,24 hrs,163600000.0,FONTIBON,10.1,810.0,True,False,False,True,False
130000,2,8,47.0,3,1,0,2,Apartamento,24 hrs,135000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
100000,3,17,50.0,2,1,0,0,Apartamento,24 hrs,180000000.0,SUBA,9.8,750.0,True,False,False,True,True
40000,3,29,50.0,3,1,0,0,Apartamento,No,152600000.0,KENNEDY,25.4,950.0,True,False,False,True,True
125300,3,2,46.0,2,1,0,1,Apartamento,24 hrs,160400000.0,ENGATIVA,11.3,790.0,True,True,False,True,False
67000,2,13,42.0,2,1,0,0,Apartamento,24 hrs,116200000.0,KENNEDY,25.4,950.0,True,False,False,True,True
41001,2,18,38.0,2,1,0,0,Apartamento,24 hrs,126000000.0,FONTIBON,10.1,810.0,True,False,False,True,True
80000,2,31,44.0,2,1,0,0,Apartamento,24 hrs,99200000.0,USME,18.9,680.0,True,False,False,True,True
56500,2,7,41.0,2,1,0,0,Apartamento,24 hrs,99300000.0,USME,18.9,680.0,True,False,False,True,True
105000,2,17,53.0,2,1,0,0,casa con conjunto cerrado,24 hrs,156300000.0,KENNEDY,25.4,950.0,True,False,False,True,True
79000,2,6,47.0,3,1,0,0,Apartamento,24 hrs,125700000.0,KENNEDY,25.4,950.0,True,False,False,True,True
307000,4,15,59.0,3,2,1,0,Apartamento,24 hrs,291100000.0,USAQUEN,8.5,850.0,True,True,False,True,True
298000,4,32,74.0,3,2,1,0,Apartamento,24 hrs,274000000.0,SUBA,9.8,750.0,True,False,False,True,True
54500,2,8,57.0,3,1,0,0,Apartamento,24 hrs,157800000.0,USAQUEN,8.5,850.0,True,False,False,True,True
145600,3,7,62.0,3,2,0,3,Apartamento,24 hrs,190500000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
50000,3,17,62.0,3,2,0,1,Apartamento,24 hrs,244100000.0,KENNEDY,25.4,950.0,True,False,False,True,True
79800,2,16,52.0,3,2,0,0,Apartamento,24 hrs,169600000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
312000,3,14,97.0,3,2,1,0,casa con conjunto cerrado,24 hrs,375000000.0,SUBA,9.8,750.0,True,True,False,True,True
259000,3,14,72.0,3,2,2,1,Apartamento,24 hrs,389800000.0,SUBA,9.8,750.0,True,True,False,True,True
635000,6,5,77.0,2,3,1,1,Apartamento,24 hrs,600000000.0,USAQUEN,8.5,850.0,True,False,False,True,False
324000,4,15,88.0,3,2,1,1,Apartamento,24 hrs,415000000.0,USAQUEN,8.5,850.0,True,False,False,True,True
93000,2,5,45.0,2,1,0,0,Apartamento,24 hrs,120000000.0,USME,18.9,680.0,True,False,False,True,True
126400,3,10,51.0,2,2,0,0,Apartamento,24 hrs,175000000.0,SUBA,9.8,750.0,True,False,False,True,False
75000,2,11,43.0,3,2,0,0,Apartamento,24 hrs,160200000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
648000,6,11,65.0,2,2,1,1,Apartamento,24 hrs,472000000.0,USAQUEN,8.5,850.0,True,False,False,True,True
70000,2,8,46.0,3,1,0,1,Apartamento,24 hrs,140000000.0,BOSA,21.5,880.0,True,False,False,True,False
54000,2,15,40.0,2,1,0,0,Apartamento,24 hrs,117800000.0,KENNEDY,25.4,950.0,True,False,False,True,True
78000,3,10,41.0,2,1,0,1,Apartamento,24 hrs,186500000.0,KENNEDY,25.4,950.0,True,False,False,True,True
170000,3,13,59.0,3,2,0,1,Apartamento,24 hrs,218421053.0,KENNEDY,25.4,950.0,True,False,False,True,True
208000,2,13,51.0,3,2,0,0,Apartamento,24 hrs,170000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
82000,3,10,43.0,2,1,0,0,Apartamento,24 hrs,130466000.0,USAQUEN,8.5,850.0,True,False,False,True,True
125000,2,3,51.0,2,1,0,1,Apartamento,24 hrs,174030000.0,ENGATIVA,11.3,790.0,True,False,False,True,False
160400,3,5,39.0,2,1,0,3,Apartamento,24 hrs,183000000.0,SUBA,9.8,750.0,True,False,False,True,True
649900,5,28,109.0,3,3,1,1,Apartamento,24 hrs,534760000.0,SUBA,9.8,750.0,True,True,False,True,False
141200,3,6,33.0,1,1,0,1,Apartamento,24 hrs,151600000.0,SUBA,9.8,750.0,True,False,False,True,True
67000,2,10,42.0,3,1,0,0,Apartamento,24 hrs,158830000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
145500,3,8,62.0,3,2,0,3,Apartamento,24 hrs,190000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
140000,3,14,78.0,3,2,0,0,Apartamento,24 hrs,285000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
145000,3,14,61.0,2,2,0,0,Apartamento,24 hrs,225000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
150000,2,10,52.0,3,2,0,0,Apartamento,24 hrs,170000000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
273100,3,13,58.0,3,2,1,1,Apartamento,24 hrs,283000000.0,ENGATIVA,11.3,790.0,True,True,False,True,True
88000,3,15,73.0,4,2,0,0,casa con conjunto cerrado,24 hrs,212400000.0,SUBA,9.8,750.0,True,False,False,True,False
368000,3,9,84.0,3,2,1,3,Apartamento,24 hrs,368000000.0,SUBA,9.8,750.0,True,False,False,True,False
75000,2,7,47.0,2,1,0,0,Apartamento,24 hrs,170000000.0,CIUDAD BOLIVAR,35.0,650.0,True,True,False,True,True
61200,2,11,44.0,2,1,0,0,Apartamento,24 hrs,120500000.0,USME,18.9,680.0,True,False,False,True,True
120000,2,2,50.0,3,2,0,2,Apartamento,No,202000000.0,BOSA,21.5,880.0,True,False,False,True,False
65000,3,20,53.0,2,1,0,0,casa con conjunto cerrado,24 hrs,180000000.0,FONTIBON,10.1,810.0,True,False,False,True,True
417000,4,14,93.0,3,3,1,1,Apartamento,24 hrs,440000000.0,SUBA,9.8,750.0,True,True,False,True,True
