conjunto,administración,estrato,antiguedad,remodelado,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,deposito,porteria,zona_de_lavanderia,gas,parqueadero,precio,direccion,nombre,descripcion,barrio
Santa Mónica,532000,4,37,Si,86.0,1,1,1,1,Apartamento,0,24 hrs,No Tiene,Si,No,313900000.0,Avenida Carrera 3 # 59-65,Santa Mónica,"Apartamento en venta de 86 m2, con vista exterior, ubicado en un 1er piso (Apto 104), acceso por escaleras, parqueadero propio cubierto (2). Consta de 1 habitación, 1 baño, sala comedor, estudio, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con zona social y vigilancia privada las 24 horas. Cerca a centro comercial de la 59; cerca a tiendas y supermercado de barrio; cerca a colegio Rosario Santo Domingo; cerca a universidad Manuela Beltrán; Vías de acceso por la Avenida Circunvalar y carrera 3. 
VALOR DE ADMINISTRACIÓN POR CONFIRMAR.",PARDO RUBIO
 Chicó Milano 101,0,6,7,Si,77.0,1,2,2,1,Apartamento,1,24 hrs,No Tiene,Si,Si,440100000.0,Carrera 12 #101A-18,Chicó Milano 101,"Apartamento en venta de 77m2, con vista interior, ubicado en un 4to piso (Apto 402), acceso por ascensor, parqueadero propio cubierto (402) y depósito (402). Consta de 1 habitación, 2 baños, sala comedor, balcón (1,2m2) cocina integral y zona de lavandería. Tiene piso laminado en habitación, zona social y cerámico en baños y cocina. El edificio cuenta con salón social, gimnasio, zona BBQ, terraza y vigilancia privada las 24 horas. Cerca a centro comercial Santa Ana; cerca a almacenes de cadena como Éxito, Tiendas D1 y Ara; cerca a Colegio Nuestra Señora del Buen Consejo; cerca a paraderos del SITP; Vías de acceso por la Carrera 12 Y Calle 101.

VALOR DE ADMINISTRACION POR CONFIRMAR",USAQUEN
Portal del Belmira ,811893,4,14,Si,109.0,3,4,2,1,Apartamento,0,24 hrs,No Tiene,Si,Si,495000000.0,Calle 146 #7F-54,Portal del Belmira,"Apartamento en venta de 109 m2, con vista Interior, ubicado en un 2do piso (Apto 204), acceso por ascensor, parqueadero propio cubierto (20 y 21). Consta de 4 habitaciones, 3 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con zona social, salon comunal y vigilancia privada las 24 horas. Cerca a centro comercial la puerta de sol; cerca a almacenes de cadena Olimpica, Tienda D1, TIenda Ara, Drogueria Colsubsidio; cerca a colegio Pureza de María ; cerca a paraderos del SITP; Vías de acceso por la carrerra 7f y calle 146.

",LOS CEDROS
Carmel Reservado ,400200,4,11,Si,76.0,3,2,1,2,Apartamento,0,24 hrs,No Tiene,Si,Si,442300000.0,KR 54 152A 35,Carmel Reservado,"Apartamento en venta de 76m2, con vista exterior, ubicado en un 13avo piso (Apto 1302), acceso por escaleras y ascensor, parqueadero propio cubierto (84). Consta de 3 habitaciones, 2 baños, sala comedor con balcón, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón comunal, gimnasio, terrazas BBQ y vigilancia privada las 24 horas. Cerca a centro comercial La Colina; cerca a almacenes de cadena Carulla, Éxito; cerca a colegio San Tarsicio, Hijas de Cristo Rey; cerca a universidad ECCI; cerca a estación de Transmilenio Mazuren; Vías de acceso por la Av Boyaca y Calle 153.
",EL PRADO
Toscana 1 ,270000,4,20,Si,105.0,4,2,1,0,Casa,1,24 hrs,No Tiene,Si,Si,387000000.0,CL 168 14 55,Toscana 1,"Casa en venta de 105m2, con vista exterior, ubicado en un 3er piso (Interior 4 Casa 21), acceso por sendero peatonal y sótano, parqueadero propio cubierto (sótano de la casa). Consta de 4 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con senderos verdes, parque para niños, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Santafe; cerca de almacenes de cadena PriceSmart; cerca a colegio Eucarístico; cerca a universidad San Buenaventura; cerca a estación de Transmilenio Portal Norte, Toberín; Vías de acceso por la Calle 7ma y Calle 170.
""",TOBERIN
Rondas de San Patricio 2,211000,3,19,Si,67.0,3,2,1,0,Apartamento,0,No,No Tiene,Si,Si,271500000.0,Calle 80A #118-30,Rondas de San Patricio 2,"Apartamento en venta de 67 m2, con vista Interior, ubicado en un 6to piso (Torre 6 Apto 6203) acceso por escaleras, parqueadero propio (95). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y cerámico en zona social, baños y cocina. El Conjunto cuenta con salón social, zona social, zonas verdes y vigilancia privada las 24 horas. Cerca a centros comerciales portal 80; cerca a almacenes de cadena como Tienda D1, Carulla, Exito ; cerca a colegio Rodolfo Llinás sede A; cerca a paraderos del SITP; Vías de acceso por la Carrera 119 y Calle 80a",BOLIVIA
Prados de Capellanía 3,226000,4,24,Si,72.0,3,2,1,2,Apartamento,1,24 hrs,Comunal,Si,Si,334000000.0,KR 89 # 19 A - 50,Prados de Capellanía 3,"Apartamento en venta de 72m2, con vista interior, ubicado en un 8vo piso (Torre 2 Apto 806), acceso por ascensor,  parqueadero propio cubierto (2-806) y depósito (2-806) Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, zona BBQ y vigilancia privada las 24 horas. Cerca a centro comercial Hayuelos y Trébolis Capellanía; cerca a almacenes de cadena como Éxito, Ara y D1; cerca a colegio Teresita de Liseux y Nuevo Montessoriano; cerca a estación de Transmilenio Normandía y Portal El Dorado; Vías de acceso por la Av. Calle 17 y carrera 96C.",GRANJAS DE TECHO
Edificio El Campin ,529000,4,30,Si,77.0,2,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,No,444200000.0,Calle 55 # 30 - 27,Edificio El Campin,"Apartamento en venta de 77m2, con vista exterior, ubicado en un 4to piso (Apto 404), acceso por ascensor, parqueadero propio cubierto (10). Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso Laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con vigilancia privada las 24 horas. Cerca a centro comercial Plaza 54 y Galerías; cerca a almacenes de cadena como Éxito Express, Colsubsidio, D1 y Ara; cerca a colegio Nuestra Señora del Pilar, colegio Formarte; cerca a universidad Nacional, universidad ECCI; cerca a estación de Transmilenio El Campín; Vías de acceso por Carrera 30 y calle 55.",LA ESMERALDA
Tierra Del Sol,130000,3,9,Si,59.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,256800000.0,Calle 6b # 81b-51,Tierra Del Sol,"Apartamento en venta de 59 m2, con vista exterior, ubicado en un 12vo piso (Torre 7 Apto 1225), acceso por ascensor. Parqueadero privado (223). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en zonas sociales y habitaciones y cerámico en cocina y baños. El conjunto cuenta con zona para niños, zonas verdes, salón comunal, gimnasio y vigilancia privada las 24 horas. Cerca a centro comercial Tintal Plaza y Milenio Plaza; cerca a almacenes de cadena como Éxito y Olímpica; cerca al colegio Distrital SaludCoop Sur, Fe y Alegría Patio Bonito; cerca a universidad Universitaria Agustiniana, Uniminuto Kennedy; cerca estaciones de STIP Transversal 86 a paraderos del SITP; Vías de acceso por Avenida Américas, Avenida ciudad de Cali Y Calle 6.",CASTILLA
Edificio Omega 134,453000,5,8,Si,54.0,1,2,1,1,Apartamento,1,24 hrs,No Tiene,Si,Si,384200000.0,Carrera 23#134A-09,Edificio Omega 134,"Apartamento en venta de 60m2, con vista exterior, ubicado en un 3er piso (Apto 303), acceso por ascensor, parqueadero propio cubierto (16) y depósito (12). Consta de 1 habitación, 2 baños, sala comedor, balcón (8,9 M2) cocina integral y zona de lavandería. Tiene piso laminado en habitación, zona social y cerámico en baños y cocina. El edificio cuenta con salón comunal, zona BBQ y vigilancia privada las 24 horas. Cerca a centro comercial San Rafael; cerca a almacenes de cadena como Éxito, Carulla y  D1; cerca a colegio Richard Wagner; cerca a estación de Transmilenio Alcalá; Vías de acceso por la Autopista Norte y Calle 134.",LOS CEDROS
